OBJECTID,ROAD_NAME,STATUS,PROJ_NAME,TYPE,TOWN,Shape__Length
673,STAFFORD RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,242.025893827035
674,STAFFORD RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,88.1911495452825
675,STAFFORD RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,37.1251514922619
676,STAFFORD RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,325.765806971135
677,STAFFORD RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,442.77443607909
678,STAFFORD RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,458.012562621051
679,STAFFORD RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,512.238700498549
680,STAFFORD RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,177.237297711242
681,STAFFORD RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,496.077424344166
682,STAFFORD RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,217.852112103059
683,STAFFORD RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,1978.87734836592
684,STAFFORD RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,225.191985514909
685,STAFFORD RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,662.971430829466
686,STAFFORD RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,99.6568028852557
687,STAFFORD RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,119.646392373011
688,STAFFORD RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,1431.19459495518
689,STAFFORD RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,165.345564742633
690,STAFFORD RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,421.08024747784
691,STAFFORD RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,40.6001323569716
692,STAFFORD RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,166.93351287339
693,CRANDALL RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,336.64763137192
694,CRANDALL RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,1020.15784089086
695,CRANDALL RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,306.181326931725
696,CRANDALL RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,202.512024851972
697,CRANDALL RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,718.908019479176
698,CRANDALL RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,51.8815338042703
699,CRANDALL RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,1608.25335812507
700,CRANDALL RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,674.023704764721
701,CRANDALL RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,915.774964935827
702,CRANDALL RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,174.068255990375
703,CRANDALL RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,1010.08475692028
704,CRANDALL RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,204.765645178001
705,CRANDALL RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,1277.30796290235
706,CRANDALL RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,757.084196553991
707,CRANDALL RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,1494.39238970591
708,CRANDALL RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,810.322054934409
709,CRANDALL RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,385.667405609269
710,CRANDALL RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,2789.54123266907
711,CRANDALL RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,1056.44326956687
712,CRANDALL RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,498.718123588923
713,CRANDALL RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,765.800267670281
714,CRANDALL RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,2091.06653994988
715,CRANDALL RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,477.452958576598
716,CRANDALL RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,670.93445915222
717,CRANDALL RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,452.781179156468
718,CRANDALL RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,438.345473069777
719,CRANDALL RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,542.923080860578
720,CRANDALL RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,298.113768460039
721,CRANDALL RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,461.422756982196
722,CRANDALL RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,664.220172510652
723,CRANDALL RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,932.371057352113
724,CRANDALL RD,COMPLETED,STRIPPED,STATEWIDE ROUTE,TIVERTON,173.111710171958
725,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,537.668282818031
726,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,476.985017286716
727,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,1351.56636663443
728,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,1500.27703436525
729,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,465.536876130882
730,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,487.191913171633
731,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,593.554066915328
732,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,387.534977449002
733,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,491.283941288557
734,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,329.243555689927
735,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,480.845039275681
736,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,353.711761188136
737,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,184.891627453234
738,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,1540.32075901679
739,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,468.438122585373
740,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,469.430727024002
741,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,657.050305428926
742,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,552.783670055469
743,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,464.286582405049
744,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,150.247875054776
745,MEMORIAL BLVD,COMPLETED,MEMORIAL BLVD BIKE LANES,BIKE LANES,NEWPORT,404.782944045852
