OBJECTID,F_Name,F_Type,Street,Town,OwnerTyp,P_Ground,B_Field,S_Field,F_Field,M_Field,B_Court,T_Court,V_Court,Track,SkatPark,IH_Rink,SH_Rink,Golf,Fishing,Boating,Hunting,Trails,Beach,Pool,RestRoom,W_Path,B_Path,SplashPark,PickBall,Shelter,CommGard,Stage,Dog,TabGame,Camping,Fitness,GrantFund,POINT_X,POINT_Y,DEMID,StateBond,LWCF,GlobalID,RIEJ,Justice40,x,y
245,Pierce Field Athletic Complex,AF,Mercer,East Providence,MUN,1,4,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Y,-71.38240482,41.81060238,"887054,2011-70-07",Y,N,{081E676A-44B9-45B7-A323-3D5FE5D184CB},Y,Y,360142.415025502,265020.93340075
246,Fargnoli Park,LP,Smith,Providence,MUN,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.44228241,41.84207597,4400205,N,Y,{B151F43D-1C15-4770-A3C3-3D6FAD3281AF},Y,N,343810.736402836,276473.246782169
247,Neutaconkanut Park,LP,Killingly,Providence,MUN,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.46331751,41.8141905,"4400216,907036",Y,Y,{B5C5D1A5-D040-4391-9A0D-3DA5FF708338},Y,Y,338083.242608503,266308.640471004
248,Mount Pleasant Memorial Park,LP,Newark,Providence,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.44314758,41.82530215,Not Applicable,N,N,{A129EEF0-6A0C-4888-9115-3DD77D8CB132},Y,Y,343579.033126086,270360.710122749
249,Chariho Athletic Association,AF,Nooseneck Hill,Hopkinton,PRV,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N,-71.70585988,41.51308193,Not Applicable,N,N,{8A2A1481-9403-4E31-8795-3DE9CCC8CCA4},N,N,271702.380619835,156652.915557168
250,Latham Park,LP,Shore,Barrington,MUN,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Y,-71.35212189,41.74580144,"887041,958011,2011-40-01,2018-70-01",Y,N,{5DADA0EC-4DB9-49B0-8DC3-3DEB03E8F246},N,N,368438.825598001,241420.4363105
251,First Street Park,LP,1st,Cranston,MUN,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.4217078,41.76619956,Not Applicable,N,N,{1FAA7446-0D7B-4297-B399-3E1AC1664375},Y,N,349442.272711918,248828.457583666
252,Goddard Park,SP,Ives,Warwick,STA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,N,-71.43722388,41.65924781,7051,?,N,{804B4601-3F79-48CB-A673-3E492DC5FCBD},N,N,345237.735517334,209852.582123503
253,Cooney-Tate Field,LP,Gansett,Cranston,MUN,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.45267627,41.78778519,"897019,907041",Y,N,{F2A4F2DF-DAF2-418C-8B6C-3F581AD38A4D},Y,Y,340989.419538919,256688.016667672
254,East Beach/Fred Benson Beach,LP,Beach,New Shoreham,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,Y,-71.56667577,41.18254411,"2016-70-12
",Y,N,{5CF58554-BE2A-453F-8A14-3F6C470CAA21},N,N,309729.570641417,36155.0269602537
255,Harrisville Pond Fishing Access,FB,Sherman Farm,Burrillville,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.67879372,41.97085488,2006-60-25,Y,N,{A42CA7E7-9B5A-49A2-B99E-3F84AFE124DF},N,N,279461.832620583,323446.335250504
256,Wood Street Field,LP,Wood,Coventry,SCH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.56259058,41.6859738,Not Applicable,N,N,{1487A890-488D-43EC-9EEA-3FF51FD1499C},N,N,310986.70493817,219591.224719666
