OBJECTID,TOWN,ZIP_CODE,CTRACT2000,CBLKGROUP,TRCTBLKGRP,FOREC_RATE,SUBLN_RATE,Acres,Shp_Length,Shape__Area,Shape__Length
252,East Providence,02915,106,6,106.006,7,1.492872,98.14545582,11180.7446214,4275216.26789093,11180.744621416
253,East Providence,02915,106,7,106.007,7,1.492872,133.84393421,14900.1730963,5830242.0637207,14900.1730962706
254,Johnston,02919,124.01,2,124.012,7,3.560499,100.92873016,9630.31778208,4396455.70392609,9630.31778207969
255,Johnston,02919,124.01,3,124.013,7,3.560499,112.52565086,13339.6141964,4901617.59463501,13339.6141963591
256,Cranston,02920,141,1,141.001,10,3.776965,89.84160469,8885.20092574,3913500.49454498,8885.20092574392
257,Cranston,02920,141,2,141.002,10,3.776965,77.75674953,8001.89466885,3387084.17785645,8001.8946688456
258,Cranston,02920,141,3,141.003,10,3.776965,117.93616031,18141.0871541,5137299.39824677,18141.0871540909
259,Cranston,02920,147,1,147.001,9,3.776965,92.14690124,7912.65940025,4013919.21753693,7912.65940024839
260,Cranston,02920,147,2,147.002,9,3.776965,100.19607881,9908.56715833,4364541.40962219,9908.56715833371
261,Cranston,02920,147,3,147.003,9,3.776965,82.52709354,9127.01276424,3594880.37320709,9127.01276423724
262,Cranston,02920,147,4,147.004,9,3.776965,108.53051585,9051.11221543,4727589.50495911,9051.11221542878
263,Cranston,02920,147,5,147.005,9,3.776965,63.81949227,6909.36758747,2779977.2213974,6909.36758746665
264,Pawtucket,02860,150,1,150.001,9,5.254908,154.72129949,10935.4450326,6739660.14021301,10935.4450326393
265,Pawtucket,02860,151,1,151.001,11,5.254908,152.35805106,13008.7547684,6636717.03354645,13008.7547683714
266,Pawtucket,02860,171,2,171.002,7,5.254908,195.32795155,15748.8482766,8508485.99173737,15748.8482765616
267,Pawtucket,02861,157,1,157.001,7,3.321639,90.0729254,11961.4816,3923576.8250351,11961.4816000177
268,Pawtucket,02861,158,1,158.001,7,3.321639,184.86655693,31730.6268165,8052787.61925507,31730.6268164969
269,Pawtucket,02861,170,1,170.001,7,3.321639,226.06176953,16521.5790756,9847251.16928101,16521.5790755551
270,Central Falls,02863,109,1,109.001,11,2.32888,102.4135614,11781.3754316,4461134.95617676,11781.3754316125
271,Central Falls,02863,110,1,110.001,12,2.32888,61.00221575,11039.937939,2657256.64989471,11039.9379390366
272,Cumberland,02864,112,1,112.001,7,2.097485,153.44876754,14917.9423464,6684228.64588928,14917.9423463727
273,Cumberland,02864,112,2,112.002,7,2.097485,301.00665802,38188.7180445,13111850.6738434,38188.7180444922
274,Cumberland,02864,112,3,112.003,7,2.097485,128.23271656,16435.7006245,5585817.41068268,16435.7006244967
275,Warwick,02886,211,9,211.009,7,3.187281,910.30048817,40326.0478425,39652691.2318573,40326.047842481
276,Warwick,02886,217,2,217.002,7,3.187281,102.15878635,19384.9020401,4450036.95426178,19384.9020400683
277,Warwick,02886,219.02,1,219.021,7,3.187281,302.74928106,19297.8042939,13187759.3372726,19297.8042939078
278,Warwick,02886,219.02,2,219.022,7,3.187281,105.65075424,12625.4888994,4602147.08319855,12625.4888994368
279,Warwick,02886,219.02,3,219.023,7,3.187281,104.7768596,11691.7945228,4564080.23094177,11691.7945227581
280,Warwick,02888,211,3,211.003,7,2.799134,436.29407612,24293.6454007,19004970.898407,24293.6454006549
281,Warwick,02889,215.01,4,215.014,7,4.411435,185.67375309,24365.1248994,8087949.0859375,24365.1248993737
282,West Warwick,02893,201.02,3,201.023,7,3.739643,276.44932335,15377.6386047,12042133.1224823,15377.6386047475
283,West Warwick,02893,201.02,4,201.024,7,3.739643,147.06823768,28156.4405775,6406292.75122833,28156.4405775063
284,West Warwick,02893,202,1,202.001,7,3.739643,297.89792151,29489.8913854,12976434.1048431,29489.8913854225
285,West Warwick,02893,202,2,202.002,7,3.739643,153.47163323,23171.7281318,6685224.67533875,23171.7281317722
286,West Warwick,02893,202,3,202.003,7,3.739643,179.70194942,21777.0701668,7827817.30516052,21777.0701667587
287,West Warwick,02893,203,1,203.001,8,3.739643,114.41687423,10909.6462987,4983999.28869629,10909.64629867
288,Woonsocket,02895,174,1,174.001,10,4.306934,254.7265748,15551.1768267,11095890.1490097,15551.1768267187
289,Woonsocket,02895,174,2,174.002,10,4.306934,69.04333075,10370.4320904,3007527.63671112,10370.4320904229
290,Woonsocket,02895,175,2,175.002,8,4.306934,99.46887494,11921.8930303,4332864.40765381,11921.8930303293
291,Woonsocket,02895,177,1,177.001,8,4.306934,222.14821422,30584.1093542,9676776.6913681,30584.109354199
292,Woonsocket,02895,177,2,177.002,8,4.306934,476.91766975,25661.204125,20774534.7250443,25661.2041249554
293,Woonsocket,02895,180,1,180.001,10,4.306934,90.46610327,12765.4131116,3940703.65389252,12765.4131115692
294,Woonsocket,02895,181,3,181.003,9,4.306934,124.6019485,15194.6631403,5427661.14627075,15194.6631403013
295,Woonsocket,02895,182,1,182.001,8,4.306934,100.88380469,13793.7171507,4394498.75037384,13793.7171507011
296,Woonsocket,02895,185,1,185.001,7,4.306934,151.80103366,15488.4096889,6612453.35420227,15488.4096889489
297,Woonsocket,02895,185,2,185.002,7,4.306934,485.6264674,24690.4230841,21153889.9695282,24690.42308414
298,Woonsocket,02895,185,3,185.003,7,4.306934,324.4027004,27350.0378735,14130982.3303909,27350.0378735084
299,Providence,02904,28,1,28.001,9,3.709786,165.96036777,15238.6035032,7229233.97891998,15238.6035031813
300,Providence,02904,29,5,29.005,10,3.709786,128.32749908,16936.9411571,5589946.13751221,16936.9411571452
301,Providence,02904,31,4,31.004,7,3.709786,15.06345227,5430.00558262,656164.013793945,5430.00558262183
302,North Providence,02904,118,3,118.003,7,3.709786,109.88132894,13152.9510034,4786430.92622375,13152.9510034099
303,Providence,02905,1.02,2,1.022,11,4.038218,223.76048825,50082.0850062,9747007.3516922,50082.0850062185
304,Providence,02905,6,1,6.001,12,4.038218,159.4976471,20161.980746,6947717.8523407,20161.9807460441
305,Cranston,02905,136,1,136.001,7,4.038218,127.43525587,13795.2919232,5551080.02141571,13795.2919232452
306,Providence,02907,1.02,4,1.024,11,4.538329,260.83806599,33438.9967494,11362106.7184906,33438.9967494371
307,Providence,02907,15,1,15.001,9,4.538329,241.18877486,29037.8811153,10506183.5542908,29037.8811152541
308,Providence,02908,23,2,23.002,8,5.590804,82.97558196,8855.76118706,3614416.52973175,8855.76118706137
309,Providence,02908,25,2,25.002,9,5.590804,198.90678039,29708.9989591,8664379.78393555,29708.9989591186
310,Providence,02909,18,2,18.002,11,7.031425,93.09195318,12902.6037997,4055085.68196869,12902.6037996971
311,Providence,02909,18,6,18.006,11,7.031425,173.20187671,16018.1748451,7544674.12374115,16018.1748450585
312,Providence,02909,19,1,19.001,13,7.031425,52.76288485,13114.8960008,2298351.37831116,13114.8960008179
313,Providence,02909,19,2,19.002,13,7.031425,42.63188963,8682.19609045,1857045.20484161,8682.19609044554
314,Providence,02909,19,3,19.003,13,7.031425,74.67329939,18589.5568737,3252769.08283234,18589.5568736595
315,Providence,02909,19,6,19.006,13,7.031425,48.3240308,10187.4573584,2104994.88627625,10187.4573584019
316,Providence,02909,20,2,20.002,10,7.031425,114.15557491,13833.5269137,4972617.08978271,13833.526913719
317,Providence,02909,20,3,20.003,10,7.031425,73.30861119,12739.0535411,3193323.26191711,12739.0535411409
318,Providence,02909,24,5,24.005,7,7.031425,305.85438383,18009.5257745,13323017.6206741,18009.5257745061
319,Cranston,02910,136,2,136.002,7,3.090244,169.79910618,17746.6144133,7396449.43217468,17746.6144133374
320,Cranston,02910,136,3,136.003,7,3.090244,179.69746243,18134.1232444,7827621.85173035,18134.1232443615
321,Cranston,02910,140,5,140.005,7,3.090244,93.67117063,14135.110643,4080316.39504242,14135.1106429833
322,North Providence,02911,121.02,2,121.022,7,1.97059,130.29287498,12216.3756838,5675557.91577911,12216.3756837696
323,North Providence,02911,121.02,4,121.024,7,1.97059,86.32630437,19786.7689835,3760374.00531769,19786.7689835394
324,East Providence,02914,103,2,103.002,7,1.963126,415.82683556,28868.7309638,18113417.8556747,28868.7309638243
325,East Providence,02915,106,3,106.003,7,1.492872,39.71488219,8651.32288286,1729980.35431671,8651.32288285809
326,Johnston,02919,124.01,1,124.011,7,3.560499,167.50616798,12960.717662,7296569.03917694,12960.7176619558
327,Johnston,02919,124.01,4,124.014,7,3.560499,609.15083412,28536.738108,26534611.6504745,28536.7381079528
328,Johnston,02919,124.01,5,124.015,7,3.560499,244.5327696,18415.6718836,10651847.9721756,18415.671883596
329,Johnston,02919,124.02,1,124.021,7,3.560499,429.388137,25480.5281738,18704148.1753998,25480.5281737808
330,Johnston,02919,124.02,2,124.022,7,3.560499,450.57676387,24853.9495279,19627124.8080444,24853.94952785
331,Johnston,02919,125,1,125.001,7,3.560499,310.10861721,22358.9134178,13508332.0359192,22358.9134178141
332,Johnston,02919,125,2,125.002,7,3.560499,1406.52334293,57147.7631382,61268159.8570633,57147.7631381511
333,Cranston,02920,141,4,141.004,10,3.776965,188.9856267,27494.7547861,8232214.30747223,27494.7547860747
334,Cranston,02920,147,6,147.006,9,3.776965,451.92356673,51006.5470984,19685791.5432663,51006.5470984202
