OBJECTID,Land Use Type,Acres,Shape__Area,Shape__Length
37,Conservation/Limited,1.33054224,57958.4229707718,983.542774474952
38,Conservation/Limited,8.27807211,360592.839398384,3053.50819695871
39,Conservation/Limited,0.84159165,36659.7344112396,900.818669770122
40,Conservation/Limited,0.5039407,21951.6582860947,665.734284196219
41,Conservation/Limited,2.1109886,91954.6680107117,1696.97139301789
42,Conservation/Limited,0.85297357,37155.5307025909,1029.31159411296
43,Conservation/Limited,25.49673186,1110637.69503593,14370.3377559377
44,Conservation/Limited,0.73559308,32042.4361982346,744.561191012919
45,Conservation/Limited,0.9641955,42000.3581867218,1059.5236927037
46,Conservation/Limited,0.78173241,34052.2656297684,912.694715252919
47,Conservation/Limited,7.23256425,315050.514492035,3452.53636052952
48,Conservation/Limited,1.9294889,84048.5409946442,1524.75956277015
49,Conservation/Limited,0.660523,28772.3837175369,693.058557305027
50,Conservation/Limited,84.84552357,3695871.19035244,28806.9685623225
51,Conservation/Limited,1.44372644,62888.7272033691,1333.16488223299
52,Conservation/Limited,2.77475875,120868.497454643,1552.37932382729
53,Conservation/Limited,0.94800678,41295.1775016785,1179.05443937511
54,Conservation/Limited,0.74182857,32314.0544185638,889.53376484937
55,Conservation/Limited,20.95615666,912850.22974968,9260.85161454884
